k,r,trials,initial_strategy,monty_policy,switch_strategy,empirical_reward,chosen_initial_mu,opened_count,prior_mu_min,prior_mu_max,prior_mu_mean
5.0,3.0,40000.0,highest_mu,uniform_zero,oracle_best_switch,1.333425,3.2,2.872975,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,highest_mu,low_mu_zero,stay,3.2065,3.2,2.874125,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,highest_mu,low_mu_zero,uniform_switch,1.1880625,3.2,2.874125,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,highest_mu,low_mu_zero,prior_best_switch,1.205275,3.2,2.874125,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,highest_mu,low_mu_zero,oracle_best_switch,1.321075,3.2,2.874125,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,highest_mu,high_mu_zero,stay,3.1934,3.2,2.868025,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,highest_mu,high_mu_zero,uniform_switch,1.1867375,3.2,2.868025,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,highest_mu,high_mu_zero,prior_best_switch,1.20685,3.2,2.868025,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,highest_mu,high_mu_zero,oracle_best_switch,1.32645,3.2,2.868025,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,lowest_mu,uniform_zero,stay,0.09925,0.09999999999999998,2.544325,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,lowest_mu,uniform_zero,uniform_switch,3.13505,0.09999999999999998,2.544325,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,lowest_mu,uniform_zero,prior_best_switch,3.435125,0.09999999999999998,2.544325,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,lowest_mu,uniform_zero,oracle_best_switch,3.687225,0.09999999999999998,2.544325,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,lowest_mu,low_mu_zero,stay,0.099025,0.09999999999999998,2.535875,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,lowest_mu,low_mu_zero,uniform_switch,3.1421375,0.09999999999999998,2.535875,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,lowest_mu,low_mu_zero,prior_best_switch,3.44055,0.09999999999999998,2.535875,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,lowest_mu,low_mu_zero,oracle_best_switch,3.71235,0.09999999999999998,2.535875,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,lowest_mu,high_mu_zero,stay,0.1015,0.09999999999999998,2.54425,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,lowest_mu,high_mu_zero,uniform_switch,3.144125,0.09999999999999998,2.54425,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,lowest_mu,high_mu_zero,prior_best_switch,3.43555,0.09999999999999998,2.54425,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,lowest_mu,high_mu_zero,oracle_best_switch,3.6985,0.09999999999999998,2.54425,0.09999999999999998,3.2,0.9400000000000002
