repeat,k,r,trials,initial_strategy,monty_policy,switch_strategy,empirical_reward,chosen_initial_mu,opened_count,prior_mu_min,prior_mu_max,prior_mu_mean
0.0,5.0,2.0,30000.0,highest_mu,high_mu_zero,uniform_switch,0.7505166666666667,3.2,1.9886666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,highest_mu,high_mu_zero,prior_best_switch,1.16965,3.2,1.9886666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,highest_mu,high_mu_zero,oracle_best_switch,1.3481166666666666,3.2,1.9886666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,lowest_mu,uniform_zero,stay,0.0975,0.09999999999999999,1.9344,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,lowest_mu,uniform_zero,uniform_switch,2.188066666666667,0.09999999999999999,1.9344,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,lowest_mu,uniform_zero,prior_best_switch,3.324866666666667,0.09999999999999999,1.9344,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,lowest_mu,uniform_zero,oracle_best_switch,3.6960166666666665,0.09999999999999999,1.9344,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,lowest_mu,low_mu_zero,stay,0.10236666666666666,0.09999999999999999,1.936,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,lowest_mu,low_mu_zero,uniform_switch,2.174933333333333,0.09999999999999999,1.936,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,lowest_mu,low_mu_zero,prior_best_switch,3.2336,0.09999999999999999,1.936,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,lowest_mu,low_mu_zero,oracle_best_switch,3.6761833333333334,0.09999999999999999,1.936,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,lowest_mu,high_mu_zero,stay,0.0995,0.09999999999999999,1.9342666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,lowest_mu,high_mu_zero,uniform_switch,2.18655,0.09999999999999999,1.9342666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,lowest_mu,high_mu_zero,prior_best_switch,3.3838,0.09999999999999999,1.9342666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,lowest_mu,high_mu_zero,oracle_best_switch,3.6797833333333334,0.09999999999999999,1.9342666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,random,uniform_zero,stay,0.9456666666666667,0.9363666666666668,2.6532333333333336,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,random,uniform_zero,uniform_switch,2.7141166666666665,0.9363666666666668,2.6532333333333336,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,random,uniform_zero,prior_best_switch,2.9575833333333335,0.9363666666666668,2.6532333333333336,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,random,uniform_zero,oracle_best_switch,3.1403833333333333,0.9363666666666668,2.6532333333333336,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,random,low_mu_zero,stay,0.962,0.9422133333333335,2.6457,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,random,low_mu_zero,uniform_switch,2.71555,0.9422133333333335,2.6457,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,random,low_mu_zero,prior_best_switch,2.9597333333333333,0.9422133333333335,2.6457,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,random,low_mu_zero,oracle_best_switch,3.1522,0.9422133333333335,2.6457,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,random,high_mu_zero,stay,0.9417333333333333,0.9459600000000001,2.6536666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,random,high_mu_zero,uniform_switch,2.7024,0.9459600000000001,2.6536666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,random,high_mu_zero,prior_best_switch,2.950083333333333,0.9459600000000001,2.6536666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,random,high_mu_zero,oracle_best_switch,3.12995,0.9459600000000001,2.6536666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,highest_mu,uniform_zero,stay,3.182933333333333,3.2,2.8744,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,highest_mu,uniform_zero,uniform_switch,1.2044666666666666,3.2,2.8744,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,highest_mu,uniform_zero,prior_best_switch,1.2241,3.2,2.8744,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,highest_mu,uniform_zero,oracle_best_switch,1.3414333333333333,3.2,2.8744,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,highest_mu,low_mu_zero,stay,3.1954666666666665,3.2,2.8756333333333335,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,highest_mu,low_mu_zero,uniform_switch,1.1868,3.2,2.8756333333333335,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,highest_mu,low_mu_zero,prior_best_switch,1.2052333333333334,3.2,2.8756333333333335,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,highest_mu,low_mu_zero,oracle_best_switch,1.3183,3.2,2.8756333333333335,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,highest_mu,high_mu_zero,stay,3.1937333333333333,3.2,2.8680666666666665,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,highest_mu,high_mu_zero,uniform_switch,1.1817166666666667,3.2,2.8680666666666665,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,highest_mu,high_mu_zero,prior_best_switch,1.2004166666666667,3.2,2.8680666666666665,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,highest_mu,high_mu_zero,oracle_best_switch,1.32175,3.2,2.8680666666666665,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,lowest_mu,uniform_zero,stay,0.0987,0.09999999999999999,2.5448666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,lowest_mu,uniform_zero,uniform_switch,3.1284,0.09999999999999999,2.5448666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,lowest_mu,uniform_zero,prior_best_switch,3.43065,0.09999999999999999,2.5448666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,lowest_mu,uniform_zero,oracle_best_switch,3.6797166666666667,0.09999999999999999,2.5448666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,lowest_mu,low_mu_zero,stay,0.09846666666666666,0.09999999999999999,2.5374333333333334,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,lowest_mu,low_mu_zero,uniform_switch,3.1329333333333333,0.09999999999999999,2.5374333333333334,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,lowest_mu,low_mu_zero,prior_best_switch,3.4367666666666667,0.09999999999999999,2.5374333333333334,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,lowest_mu,low_mu_zero,oracle_best_switch,3.7041666666666666,0.09999999999999999,2.5374333333333334,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,lowest_mu,high_mu_zero,stay,0.1026,0.09999999999999999,2.5433333333333334,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,lowest_mu,high_mu_zero,uniform_switch,3.1484666666666667,0.09999999999999999,2.5433333333333334,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,lowest_mu,high_mu_zero,prior_best_switch,3.4399166666666665,0.09999999999999999,2.5433333333333334,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,3.0,30000.0,lowest_mu,high_mu_zero,oracle_best_switch,3.7083833333333334,0.09999999999999999,2.5433333333333334,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,random,uniform_zero,stay,0.9455833333333333,0.9374166666666668,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,random,uniform_zero,uniform_switch,0.9532333333333334,0.9374166666666668,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,random,uniform_zero,prior_best_switch,2.6657333333333333,0.9374166666666668,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,random,uniform_zero,oracle_best_switch,3.1197666666666666,0.9374166666666668,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,random,low_mu_zero,stay,0.9333333333333333,0.9321066666666669,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,random,low_mu_zero,uniform_switch,0.9549,0.9321066666666669,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,random,low_mu_zero,prior_best_switch,2.6980666666666666,0.9321066666666669,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,random,low_mu_zero,oracle_best_switch,3.1374,0.9321066666666669,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,random,high_mu_zero,stay,0.9457166666666666,0.9418433333333335,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,random,high_mu_zero,uniform_switch,0.9282833333333333,0.9418433333333335,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,random,high_mu_zero,prior_best_switch,2.6612666666666667,0.9418433333333335,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,random,high_mu_zero,oracle_best_switch,3.1131,0.9418433333333335,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,highest_mu,uniform_zero,stay,3.1908,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,highest_mu,uniform_zero,uniform_switch,0.36905,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,highest_mu,uniform_zero,prior_best_switch,0.6080666666666666,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,highest_mu,uniform_zero,oracle_best_switch,1.31675,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,highest_mu,low_mu_zero,stay,3.1990666666666665,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,highest_mu,low_mu_zero,uniform_switch,0.3703166666666667,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,highest_mu,low_mu_zero,prior_best_switch,0.6063333333333333,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,highest_mu,low_mu_zero,oracle_best_switch,1.31365,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,highest_mu,high_mu_zero,stay,3.2076,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,highest_mu,high_mu_zero,uniform_switch,0.3638166666666667,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,highest_mu,high_mu_zero,prior_best_switch,0.6040666666666666,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,highest_mu,high_mu_zero,oracle_best_switch,1.3299666666666667,3.2,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,lowest_mu,uniform_zero,stay,0.1018,0.09999999999999999,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,lowest_mu,uniform_zero,uniform_switch,1.1494,0.09999999999999999,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,lowest_mu,uniform_zero,prior_best_switch,3.2024,0.09999999999999999,0.0,0.09999999999999998,3.2,0.9400000000000002
1.0,5.0,0.0,30000.0,lowest_mu,uniform_zero,oracle_best_switch,3.69785,0.09999999999999999,0.0,0.09999999999999998,3.2,0.9400000000000002
